ports,container_type,incoterms,terms
"Casablanca, MA, MACAS",,,
"Antananarivo, MG, MGTNR",,,
"Bamako, ML, MLBKO",,,
"Yangon, MM, MMRGN",,,
"Macau, MO, MOMFM",,,
"Nouakchott, MR, MRNKC",,,
"Port Louis, MU, MUPLU",,,
"Lilongwe, MW, MWLLW",,,
"Bintulu, MY, MYBTU",,,
"Johor Bahru, MY, MYJHB",,,
"Kemaman, MY, MYKEM",,,
"Port Klang, MY, MYPKG",,,
"Kuantan (Tanjong Gelang), MY, MYKUA",,,
"Pasir Gudang, MY, MYPGU",,,
"Penang (Georgetown), MY, MYPEN",,,
"Tanjung Pelepas, MY, MYTPP",,,
"Westport/Port Klang, MY, MYWSP",,,
"Maputo, MZ, MZMPM",,,
"Walvis Bay, NA, NAWVB",,,
"Windhoek, NA, NAWDH",,,
"Agades, NE, NEAJY",,,
"Niamey, NE, NENIM",,,
"Apapa, NG, NGAPP",,,
"Tincan/Lagos, NG, NGTIN",,,
"Port Harcourt, NG, NGPHC",,,
"Onne, NG, NGONN",,,
"Calabar, NG, NGCBQ",,,
"Rotterdam, NL, NLRTM",,,
"Bergen, NO, NOBGO",,,
"Bodø, NO, NOBOO",,,
"Drammen, NO, NODRM",,,
"Haugesund, NO, NOHAU",,,
"Narvik, NO, NONVK",,,
"Oslo, NO, NOOSL",,,
"Stavanger, NO, NOSVG",,,
"Auckland, NZ, NZAKL",,,
"Bluff, NZ, NZBLU",,,
"Christchurch, NZ, NZCHC",,,
"Devonport, NZ, NZDEV",,,
"Dunedin, NZ, NZDUD",,,
"Invercargill, NZ, NZIVC",,,
"Lyttelton, NZ, NZLYT",,,
"Mount Cook, NZ, NZMON",,,
"Napier, NZ, NZNPE",,,
"Nelson, NZ, NZNSN",,,
"New Plymouth, NZ, NZNPL",,,
"Port Chalmers, NZ, NZPOE",,,
"Queenstown, NZ, NZZQN",,,
"Tauranga, NZ, NZTRG",,,
"Wellington, NZ, NZWLG",,,
"Port Qaboos, OM, OMOPQ",,,
"Salalah, OM, OMSLL",,,
"Sohar, OM, OMSOH",,,
"Batangas, PH, PHBTG",,,
"Cebu, PH, PHCEB",,,
"Manila, PH, PHMNL",,,
"Manila North Harbour, PH, PHMNN",,,
"Manila South Harbour, PH, PHMNS",,,
"Subic Bay, PH, PHSFS",,,
"Gwadar, PK, PKGWD",,,
"Karachi, PK, PKKHI",,,
"Karachi Container Terminal, PK, PKKCT",,,
"Karachi-Muhammad Bin Qasim, PK, PKBQM",,,
"Gdansk, PL, PLGDN",,,
"Gdynia, PL, PLGDY",,,
"Szczecin, PL, PLSZZ",,,
"Aveiro, PT, PTAVE",,,
"Leixoes, PT, PTLEI",,,
"Lisboa, PT, PTLIS",,,
"Setúbal, PT, PTSET",,,
"Sines, PT, PTSIE",,,
"Doha, QA, QADOH",,,
"Réunion, RE, REREU",,,
"Constanta, RO, ROCND",,,
"Kaliningrad, RU, RUKGD",,,
"Murmansk, RU, RUMMK",,,
"Novorossiysk, RU, RUNVS",,,
"Vladivostok, RU, RUVVO",,,
"Saint Petersburg, RU, RUSPP",,,
"Kigali, RW, RWKGL",,,
"Ad Dammam, SA, SADMM",,,
"Jubail, SA, SAJUB",,,
"Yanbu al-Bahr, SA, SAYNB",,,
"Jeddah, SA, SAJED",,,
"Mahe, SC, SCMAW",,,
"Khartoum, SD, SDKRT",,,
"Gothenburg, SE, SEGOT",,,
"Singapore, SG, SGSIN",,,
"Koper, SI, SIKOP",,,
"Bratislava, SK, SKBTS",,,
"Freetown, SL, SLFNA",,,
"Dakar, SN, SNDKR",,,
"Mogadishu, SO, SOMGQ",,,
"Guadalupe, ST, STGUA",,,
"Damascus, SY, SYDAM",,,
"Latakia, SY, SYLTK",,,
"N'Djamena, TD, TDNDJ",,,
"Lome, TG, TGLFW",,,
"Bangkok, TH, THBKK",,,
"Laem Chabang, TH, THLCH",,,
"Bizerte, TN, TNBIZ",,,
"Gabès, TN, TNGAE",,,
"La Goulette Nord (Halqueloued), TN, TNLGN",,,
"Rades/Tunis, TN, TNRDS",,,
"Sfax, TN, TNSFA",,,
"Sousse, TN, TNSUS",,,
"Tunis, TN, TNTUN",,,
"Evyap Pt, TR, TREYP",,,
"Marport, TR, TRMPT",,,
"Istanbul, TR, TRIST",,,
"Ambarli, TR, TRAMB",,,
"Haydarpasa, TR, TRHAY",,,
"Izmir, TR, TRIZM",,,
"Izmit, TR, TRIZT",,,
"Mersin, TR, TRMER",,,
"Hualien, TW, TWHUN",,,
"Kaohsiung, TW, TWKHH",,,
"Keelung (Chilung), TW, TWKEL",,,
"Taichung, TW, TWTXG",,,
"Taipei, TW, TWTPE",,,
"Dar es Salaam, TZ, TZDAR",,,
"Mtwara, TZ, TZMYW",,,
"Tanga, TZ, TZTGT",,,
"Ilyichevsk, UA, UAILY",,,
"Odessa, UA, UAODS",,,
"Kampala, UG, UGKLA",,,
"Long Beach, US, USLGB",,,
"Los Angeles, US, USLAX",,,
"New York, US, USNYC",,,
"Savannah, US, USSAV",,,
